SERVICIO MINORISTA
id_servicio,descripcion,tipo,precioUnitario,cantidad,totalServicio
61,aplique capucha,1,260.00,1,260.00
67,aplique capucha,1,260.00,1,260.00
59,cambio cierre,1,700.00,2,1400.00
65,cambio cierre,1,700.00,2,1400.00
69,cambio cierre,1,700.00,1,700.00
53,cierre pantalon,1,600.00,4,2400.00
70,cierre pantalon,1,600.00,2,1200.00
50,ruedo pantalon,1,250.00,2,500.00
62,ruedo pantalon,1,250.00,2,500.00
SERVICIO MAYORISTA
id_servicio,descripcion,tipo,precioUnitario,cantidad,totalServicio
54,boton camisa,2,145.00,120,17400.00
63,boton camisa,2,145.00,120,17400.00
72,boton camisa,2,145.00,60,8700.00
60,cambio boton,2,70.00,10,700.00
73,cambio boton,2,70.00,25,1750.00
51,ensamble vestido,2,860.00,25,21500.00
74,ensamble vestido,2,860.00,15,12900.00
SERVICIO EXPORTAR
id_servicio,descripcion,tipo,precioUnitario,cantidad,totalServicio
54,boton camisa,2,145.00,120,17400.00
63,boton camisa,2,145.00,120,17400.00
72,boton camisa,2,145.00,60,8700.00
60,cambio boton,2,70.00,10,700.00
73,cambio boton,2,70.00,25,1750.00
51,ensamble vestido,2,860.00,25,21500.00
74,ensamble vestido,2,860.00,15,12900.00
